,OrderID,CustomerID,Product,Category,Quantity,UnitPrice,OrderDate,PaymentMethod,City,DeliveryStatus,ReturnFlag,TotalRevenue,HighOrder,CityGroup
0,O1001,C01,Phone,Electronics,1.0,50000.0,2023-01-10,Credit Card,Karachi,Delivered,0.0,50000.0,0,Tier1
1,O1002,C02,Laptop,Electronics,1.0,120000.0,2023-02-15,Cash,Islamabad,Delivered,0.0,120000.0,1,Tier2
2,O1003,C03,Headphones,Electronics,2.0,15000.0,2023-03-12,Card,Lahore,Returned,1.0,30000.0,0,Tier2
3,O1004,C04,Shirt,Fashion,3.0,2000.0,2023-01-25,Cash,Unknown,Delivered,0.0,6000.0,0,Tier3
4,O1005,C05,Shoes,Fashion,1.0,5000.0,2023-02-10,Card,Karachi,Delivered,0.0,5000.0,0,Tier1
5,O1006,C01,Phone,Electronics,1.0,50000.0,2023-01-10,Credit Card,Karachi,Delivered,0.0,50000.0,0,Tier1
6,O1007,C06,Watch,Fashion,2.0,15000.0,2023-04-01,Cash,Lahore,Delivered,0.0,30000.0,0,Tier2
7,O1008,C07,Tablet,Electronics,1.0,80000.0,2023-05-20,Credit Card,Islamabad,Returned,1.0,80000.0,1,Tier2
8,O1009,C08,Shirt,Fashion,4.0,1800.0,2023-06-15,Card,Karachi,Delivered,0.0,7200.0,0,Tier1
9,O1010,C09,Shoes,Fashion,2.0,5500.0,2023-07-10,Cash,Lahore,Delivered,0.0,11000.0,0,Tier2
10,O1011,C10,Phone,Electronics,1.0,52000.0,2023-07-12,Credit Card,Karachi,Delivered,0.0,52000.0,1,Tier1
11,O1012,C11,Laptop,Electronics,1.0,125000.0,2023-07-13,Cash,Lahore,Delivered,0.0,125000.0,1,Tier2
12,O1013,C12,Headphones,Electronics,2.0,4000.0,2023-07-14,Card,Islamabad,Returned,1.0,8000.0,0,Tier2
13,O1014,C13,Shirt,Fashion,3.0,2200.0,2023-07-15,Cash,Karachi,Delivered,0.0,6600.0,0,Tier1
